iter	Passed	Remaining
0	3	360
1	7	384
2	11	358
3	13	326
4	17	334
5	19	308
6	22	303
7	25	296
8	28	284
9	31	283
10	35	285
11	38	284
12	41	279
13	45	279
14	51	292
15	57	302
16	60	297
17	67	307
18	73	312
19	76	305
20	78	294
21	81	290
22	84	283
23	87	277
24	90	270
25	93	265
26	95	259
27	98	253
28	101	247
29	103	240
30	104	232
31	106	225
32	109	221
33	111	217
34	114	212
35	116	207
36	119	203
37	122	199
38	124	195
39	127	191
40	130	187
41	131	181
42	134	178
43	136	174
44	139	170
45	142	167
46	145	164
47	148	160
48	150	157
49	153	153
50	156	150
51	158	146
52	161	143
53	164	140
54	166	135
55	168	132
56	171	129
57	174	126
58	177	123
59	179	119
60	182	116
61	185	113
62	188	110
63	190	107
64	193	103
65	195	100
66	198	97
67	201	94
68	203	91
69	205	87
70	206	84
71	208	81
72	210	77
73	212	74
74	214	71
75	216	68
76	218	65
77	220	62
78	223	59
79	225	56
80	226	53
81	228	50
82	229	46
83	231	44
84	233	41
85	234	38
86	235	35
87	236	32
88	239	29
89	241	26
90	244	24
91	247	21
92	249	18
93	252	16
94	254	13
95	257	10
96	260	8
97	262	5
98	265	2
99	267	0
