iter	Passed	Remaining
0	195	195525
1	196	98024
2	196	65453
3	197	49164
4	198	39408
5	198	32894
6	199	28240
7	199	24748
8	200	22035
9	200	19864
10	201	18085
11	201	16603
12	202	15350
13	202	14283
14	203	13360
15	204	12550
16	204	11836
17	205	11232
18	206	10668
19	207	10157
20	207	9688
21	208	9261
22	208	8870
23	209	8511
24	209	8182
25	210	7877
26	210	7595
27	211	7333
28	211	7090
29	212	6868
30	212	6656
31	213	6457
32	214	6271
33	214	6094
34	215	5930
35	215	5772
36	216	5624
37	216	5483
38	217	5349
39	217	5222
40	218	5100
41	218	4986
42	219	4881
43	220	4780
44	220	4682
45	221	4587
46	221	4495
47	222	4407
48	222	4325
49	223	4247
50	224	4169
51	224	4093
52	225	4021
53	225	3950
54	226	3889
55	226	3824
56	227	3762
57	227	3701
58	228	3642
59	228	3585
60	229	3537
61	230	3484
62	230	3433
63	231	3382
64	231	3334
65	232	3289
66	232	3243
67	233	3200
68	234	3169
69	235	3129
70	236	3089
71	236	3050
72	237	3012
73	237	2975
74	238	2939
75	238	2903
76	239	2868
77	239	2834
78	240	2801
79	240	2768
80	241	2737
81	241	2706
82	241	2673
83	242	2643
84	242	2615
85	243	2587
86	243	2559
87	244	2532
88	244	2506
89	245	2481
90	245	2455
91	246	2431
92	246	2407
93	248	2396
94	249	2376
95	250	2354
96	250	2332
97	250	2310
98	251	2288
99	251	2267
100	252	2247
101	252	2226
102	253	2209
103	254	2190
104	254	2171
105	255	2152
106	255	2134
107	256	2116
108	256	2098
109	257	2081
110	257	2064
111	258	2047
112	258	2030
113	259	2014
114	259	1998
115	260	1982
116	260	1966
117	260	1950
118	261	1935
119	261	1920
120	264	1917
121	264	1904
122	265	1890
123	265	1876
124	266	1862
125	266	1849
126	267	1835
127	267	1822
128	268	1810
129	268	1798
130	269	1785
131	269	1773
132	270	1761
133	270	1749
134	271	1737
135	271	1727
136	272	1716
137	272	1704
138	273	1693
139	273	1682
140	274	1671
141	274	1660
142	275	1649
143	275	1639
144	276	1629
145	276	1618
146	277	1611
147	278	1602
148	279	1593
149	279	1584
150	280	1574
151	280	1565
152	281	1556
153	281	1546
154	282	1538
155	282	1529
156	283	1520
157	283	1511
158	284	1502
159	284	1494
160	284	1484
161	285	1476
162	286	1471
163	287	1463
164	287	1455
165	288	1447
166	288	1439
167	289	1431
168	289	1423
169	290	1415
170	290	1408
171	290	1400
172	291	1393
173	292	1387
174	292	1381
175	293	1374
176	294	1367
177	294	1360
178	295	1353
179	295	1347
180	296	1340
181	296	1333
182	297	1326
183	297	1319
184	298	1314
185	298	1308
186	299	1301
187	299	1295
188	300	1289
189	300	1282
190	301	1276
191	301	1270
192	302	1264
193	302	1258
194	303	1252
195	303	1246
196	304	1240
197	304	1234
198	305	1229
199	305	1223
200	306	1218
201	307	1215
202	308	1210
203	308	1204
204	309	1199
205	309	1194
206	310	1189
207	310	1183
208	311	1178
209	311	1173
210	312	1168
211	312	1163
212	313	1158
213	313	1153
214	314	1147
215	314	1143
216	315	1138
217	315	1133
218	316	1128
219	316	1123
220	317	1118
221	317	1113
222	318	1109
223	318	1104
224	319	1099
225	319	1095
226	320	1090
227	320	1086
228	321	1082
229	322	1078
230	322	1074
231	323	1070
232	323	1066
233	324	1061
234	324	1057
235	325	1053
236	325	1048
237	326	1044
238	326	1040
239	327	1036
240	327	1032
241	328	1029
242	329	1025
243	329	1021
244	330	1017
245	330	1013
246	331	1009
247	332	1007
248	332	1003
249	333	999
250	333	995
251	334	992
252	334	988
253	335	984
254	337	985
255	338	982
256	338	979
257	339	976
258	339	972
259	340	969
260	341	965
261	341	962
262	342	958
263	342	955
264	343	952
265	343	948
266	344	945
267	344	942
268	345	938
269	345	935
270	346	931
271	347	929
272	347	925
273	348	922
274	348	919
275	349	916
276	349	913
277	352	914
278	352	912
279	353	909
280	354	906
281	354	903
282	355	900
283	355	897
